hypothesis_id,family,family_size,dataset,beta,comparison,endpoint,null,alternative,test,multiplicity,status
SAME_BUDGET_PRAUC__CICIDS2017_COVERAGE_R1__b0.1__vs_Utility-Cost-Ratio,SAME_BUDGET_PRAUC,36,CICIDS2017_COVERAGE_R1,0.1,CB-Score minus Utility-Cost-Ratio,PR-AUC,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED
SAME_BUDGET_PRAUC__CICIDS2017_COVERAGE_R1__b0.1__vs_Oort-Style-Adapted,SAME_BUDGET_PRAUC,36,CICIDS2017_COVERAGE_R1,0.1,CB-Score minus Oort-Style-Adapted,PR-AUC,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED
SAME_BUDGET_PRAUC__CICIDS2017_COVERAGE_R1__b0.2__vs_Utility-Only,SAME_BUDGET_PRAUC,36,CICIDS2017_COVERAGE_R1,0.2,CB-Score minus Utility-Only,PR-AUC,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED
SAME_BUDGET_PRAUC__CICIDS2017_COVERAGE_R1__b0.2__vs_Utility-Cost-Ratio,SAME_BUDGET_PRAUC,36,CICIDS2017_COVERAGE_R1,0.2,CB-Score minus Utility-Cost-Ratio,PR-AUC,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED
SAME_BUDGET_PRAUC__CICIDS2017_COVERAGE_R1__b0.2__vs_Oort-Style-Adapted,SAME_BUDGET_PRAUC,36,CICIDS2017_COVERAGE_R1,0.2,CB-Score minus Oort-Style-Adapted,PR-AUC,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED
SAME_BUDGET_PRAUC__CICIDS2017_COVERAGE_R1__b0.4__vs_Utility-Only,SAME_BUDGET_PRAUC,36,CICIDS2017_COVERAGE_R1,0.4,CB-Score minus Utility-Only,PR-AUC,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED
SAME_BUDGET_PRAUC__CICIDS2017_COVERAGE_R1__b0.4__vs_Utility-Cost-Ratio,SAME_BUDGET_PRAUC,36,CICIDS2017_COVERAGE_R1,0.4,CB-Score minus Utility-Cost-Ratio,PR-AUC,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED
SAME_BUDGET_PRAUC__CICIDS2017_COVERAGE_R1__b0.4__vs_Oort-Style-Adapted,SAME_BUDGET_PRAUC,36,CICIDS2017_COVERAGE_R1,0.4,CB-Score minus Oort-Style-Adapted,PR-AUC,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED
SAME_BUDGET_PRAUC__CICIDS2017_COVERAGE_R1__b0.6__vs_Utility-Only,SAME_BUDGET_PRAUC,36,CICIDS2017_COVERAGE_R1,0.6,CB-Score minus Utility-Only,PR-AUC,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED
SAME_BUDGET_PRAUC__CICIDS2017_COVERAGE_R1__b0.6__vs_Utility-Cost-Ratio,SAME_BUDGET_PRAUC,36,CICIDS2017_COVERAGE_R1,0.6,CB-Score minus Utility-Cost-Ratio,PR-AUC,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED
SAME_BUDGET_PRAUC__CICIDS2017_COVERAGE_R1__b0.6__vs_Oort-Style-Adapted,SAME_BUDGET_PRAUC,36,CICIDS2017_COVERAGE_R1,0.6,CB-Score minus Oort-Style-Adapted,PR-AUC,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED
SAME_BUDGET_PRAUC__CICIDS2017_COVERAGE_R1__b0.8__vs_Utility-Only,SAME_BUDGET_PRAUC,36,CICIDS2017_COVERAGE_R1,0.8,CB-Score minus Utility-Only,PR-AUC,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED
SAME_BUDGET_PRAUC__CICIDS2017_COVERAGE_R1__b0.8__vs_Utility-Cost-Ratio,SAME_BUDGET_PRAUC,36,CICIDS2017_COVERAGE_R1,0.8,CB-Score minus Utility-Cost-Ratio,PR-AUC,mean_delta <= 0,mean_delta > 0,exact paired sign-flip; 20000 paired bootstrap CI,Holm within family,LOCKED
